PassengerId,Survived,Pclass,SibSp,Parch,Fare,Age,Embarked,Sex_standard,Sex_encode,FamilySize
303,0,3,0,0,0.0,19.0,S,male,0,1
807,0,1,0,0,0.0,39.0,S,male,0,1
675,0,2,0,0,0.0,29.699117647058817,S,male,0,1
467,0,2,0,0,0.0,29.699117647058817,S,male,0,1
823,0,1,0,0,0.0,38.0,S,male,0,1
414,0,2,0,0,0.0,29.699117647058817,S,male,0,1
264,0,1,0,0,0.0,40.0,S,male,0,1
733,0,2,0,0,0.0,29.699117647058817,S,male,0,1
482,0,2,0,0,0.0,29.699117647058817,S,male,0,1
272,1,3,0,0,0.0,25.0,S,male,0,1
598,0,3,0,0,0.0,49.0,S,male,0,1
180,0,3,0,0,0.0,36.0,S,male,0,1
816,0,1,0,0,0.0,29.699117647058817,S,male,0,1
278,0,2,0,0,0.0,29.699117647058817,S,male,0,1
634,0,1,0,0,0.0,29.699117647058817,S,male,0,1
379,0,3,0,0,4.0125,20.0,C,male,0,1
873,0,1,0,0,5.0,33.0,S,male,0,1
327,0,3,0,0,6.2375,61.0,S,male,0,1
844,0,3,0,0,6.4375,34.5,C,male,0,1
819,0,3,0,0,6.45,43.0,S,male,0,1
372,0,3,1,0,6.4958,18.0,S,male,0,2
203,0,3,0,0,6.4958,34.0,S,male,0,1
144,0,3,0,0,6.75,19.0,Q,male,0,1
412,0,3,0,0,6.8583,29.699117647058817,Q,male,0,1
826,0,3,0,0,6.95,29.699117647058817,Q,male,0,1
130,0,3,0,0,6.975,45.0,S,male,0,1
805,1,3,0,0,6.975,27.0,S,male,0,1
478,0,3,1,0,7.0458,29.0,S,male,0,2
132,0,3,0,0,7.05,20.0,S,male,0,1
466,0,3,0,0,7.05,38.0,S,male,0,1
364,0,3,0,0,7.05,35.0,S,male,0,1
885,0,3,0,0,7.05,25.0,S,male,0,1
211,0,3,0,0,7.05,24.0,S,male,0,1
612,0,3,0,0,7.05,29.699117647058817,S,male,0,1
785,0,3,0,0,7.05,25.0,S,male,0,1
722,0,3,1,0,7.0542,17.0,S,male,0,2
632,0,3,0,0,7.0542,51.0,S,male,0,1
244,0,3,0,0,7.125,22.0,S,male,0,1
591,0,3,0,0,7.125,35.0,S,male,0,1
762,0,3,0,0,7.125,41.0,S,male,0,1
434,0,3,0,0,7.125,17.0,S,male,0,1
128,1,3,0,0,7.1417,24.0,S,male,0,1
554,1,3,0,0,7.225,22.0,C,male,0,1
27,0,3,0,0,7.225,29.699117647058817,C,male,0,1
694,0,3,0,0,7.225,25.0,C,male,0,1
245,0,3,0,0,7.225,30.0,C,male,0,1
599,0,3,0,0,7.225,29.699117647058817,C,male,0,1
204,0,3,0,0,7.225,45.5,C,male,0,1
662,0,3,0,0,7.225,40.0,C,male,0,1
774,0,3,0,0,7.225,29.699117647058817,C,male,0,1
355,0,3,0,0,7.225,29.699117647058817,C,male,0,1
523,0,3,0,0,7.225,29.699117647058817,C,male,0,1
533,0,3,1,1,7.2292,17.0,C,male,0,3
353,0,3,1,1,7.2292,15.0,C,male,0,3
37,1,3,0,0,7.2292,29.699117647058817,C,male,0,1
297,0,3,0,0,7.2292,23.5,C,male,0,1
525,0,3,0,0,7.2292,29.699117647058817,C,male,0,1
61,0,3,0,0,7.2292,22.0,C,male,0,1
